Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
order_integrate,Chrome 71.0.3578.98,,2019-01-31 13:09:14,2019-01-31 13:09:55,41.036s,PASSED
,,,,,,
Test Cases/ssg_login,Chrome 71.0.3578.98,,2019-01-31 13:09:14,2019-01-31 13:09:28,13.341s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-31 13:09:15,2019-01-31 13:09:22,7.068s,PASSED
"navigateToUrl(""http://qa-www.ssg.com/"")",Chrome 71.0.3578.98,,2019-01-31 13:09:22,2019-01-31 13:09:25,3.546s,PASSED
"txt_login_btn = getText(findTestObject(""order/a_""))",Chrome 71.0.3578.98,,2019-01-31 13:09:25,2019-01-31 13:09:25,0.188s,PASSED
"if (txt_login_btn == ""로그인"")",Chrome 71.0.3578.98,,2019-01-31 13:09:25,2019-01-31 13:09:28,2.216s,PASSED
,,,,,,
Test Cases/ssg_order,Chrome 71.0.3578.98,,2019-01-31 13:09:28,2019-01-31 13:09:39,11.364s,PASSED
"navigateToUrl(""http://qa-emart.ssg.com/item/itemView.ssg?itemId=0000008026713&siteNo=6001&salestrNo=2034"")",Chrome 71.0.3578.98,,2019-01-31 13:09:28,2019-01-31 13:09:32,4.065s,PASSED
"click(findTestObject(""Object Repository/order/a__1""))",Chrome 71.0.3578.98,바로구매 버튼 클릭,2019-01-31 13:09:32,2019-01-31 13:09:34,2.373s,PASSED
"click(findTestObject(""Object Repository/order/td_800g ()""))",Chrome 71.0.3578.98,,2019-01-31 13:09:34,2019-01-31 13:09:34,0.088s,PASSED
"click(findTestObject(""order/input_select_day_time_css""))",Chrome 71.0.3578.98,쓱배송일자 선택,2019-01-31 13:09:34,2019-01-31 13:09:34,0.097s,PASSED
"click(findTestObject(""Object Repository/order/input_ _shortgProcMthdCdAll_1""))",Chrome 71.0.3578.98,,2019-01-31 13:09:34,2019-01-31 13:09:35,0.115s,PASSED
"click(findTestObject(""Object Repository/order/button__1""))",Chrome 71.0.3578.98,,2019-01-31 13:09:35,2019-01-31 13:09:36,1.720s,PASSED
"click(findTestObject(""Object Repository/order/button__2""))",Chrome 71.0.3578.98,,2019-01-31 13:09:36,2019-01-31 13:09:37,0.206s,PASSED
"click(findTestObject(""Object Repository/order/label_""))",Chrome 71.0.3578.98,,2019-01-31 13:09:37,2019-01-31 13:09:37,0.117s,PASSED
"click(findTestObject(""Object Repository/order/button_0  0""))",Chrome 71.0.3578.98,,2019-01-31 13:09:37,2019-01-31 13:09:39,2.267s,PASSED
"ord_no = getText(findTestObject(""order/ord_no_txt""))",Chrome 71.0.3578.98,,2019-01-31 13:09:39,2019-01-31 13:09:39,0.056s,PASSED
"ord_no = ord_no.replace(""주문번호는 "", """")",Chrome 71.0.3578.98,,2019-01-31 13:09:39,2019-01-31 13:09:39,0.001s,PASSED
"ord_no = ord_no.replace(""번"", """")",Chrome 71.0.3578.98,,2019-01-31 13:09:39,2019-01-31 13:09:39,0.000s,PASSED
ord_no = ord_no,Chrome 71.0.3578.98,,2019-01-31 13:09:39,2019-01-31 13:09:39,0.019s,PASSED
out.println(ord_no),Chrome 71.0.3578.98,,2019-01-31 13:09:39,2019-01-31 13:09:39,0.011s,PASSED
,,,,,,
Test Cases/search_ord_from_bo,Chrome 71.0.3578.98,,2019-01-31 13:09:39,2019-01-31 13:09:54,14.975s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-31 13:09:39,2019-01-31 13:09:46,7.228s,PASSED
"navigateToUrl(""https://qa-bo.ssgadm.com/authentication/login.ssg"")",Chrome 71.0.3578.98,,2019-01-31 13:09:46,2019-01-31 13:09:47,0.457s,PASSED
"setText(findTestObject(""picking_dirc_admin/input__userId""), ""140179"")",Chrome 71.0.3578.98,,2019-01-31 13:09:47,2019-01-31 13:09:47,0.170s,PASSED
