Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
order,Chrome 71.0.3578.98,,2019-01-31 11:07:08,2019-01-31 11:07:29,20.558s,FAILED
,,,,,,
Test Cases/ssg_login,Chrome 71.0.3578.98,,2019-01-31 11:07:08,2019-01-31 11:07:20,11.698s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-31 11:07:09,2019-01-31 11:07:15,6.618s,PASSED
"navigateToUrl(""http://qa-www.ssg.com/"")",Chrome 71.0.3578.98,,2019-01-31 11:07:15,2019-01-31 11:07:18,2.343s,PASSED
"txt_login_btn = getText(findTestObject(""order/a_""))",Chrome 71.0.3578.98,,2019-01-31 11:07:18,2019-01-31 11:07:18,0.187s,PASSED
"if (txt_login_btn == ""로그인"")",Chrome 71.0.3578.98,,2019-01-31 11:07:18,2019-01-31 11:07:20,2.209s,PASSED
,,,,,,
Test Cases/ssg_order,Chrome 71.0.3578.98,,2019-01-31 11:07:20,2019-01-31 11:07:28,7.498s,FAILED
"navigateToUrl(""http://qa-emart.ssg.com/item/itemView.ssg?itemId=0000008026713&siteNo=6001&salestrNo=2034"")",Chrome 71.0.3578.98,,2019-01-31 11:07:20,2019-01-31 11:07:26,5.887s,PASSED
"click(findTestObject(""Object Repository/order/a__1""))",Chrome 71.0.3578.98,바로구매 버튼 클릭,2019-01-31 11:07:26,2019-01-31 11:07:28,1.366s,FAILED
