Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
cancel_order,Chrome 71.0.3578.98,,2019-01-31 13:14:20,2019-01-31 13:14:48,28.349s,PASSED
,,,,,,
Test Cases/ssg_login,Chrome 71.0.3578.98,,2019-01-31 13:14:20,2019-01-31 13:14:35,15.191s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-31 13:14:20,2019-01-31 13:14:29,8.965s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-31 13:14:29,2019-01-31 13:14:30,1.131s,PASSED
"navigateToUrl(""http://qa-www.ssg.com/"")",Chrome 71.0.3578.98,,2019-01-31 13:14:30,2019-01-31 13:14:33,2.468s,PASSED
"txt_login_btn = getText(findTestObject(""order/a_""))",Chrome 71.0.3578.98,,2019-01-31 13:14:33,2019-01-31 13:14:33,0.164s,PASSED
"if (txt_login_btn == ""로그인"")",Chrome 71.0.3578.98,,2019-01-31 13:14:33,2019-01-31 13:14:35,2.166s,PASSED
,,,,,,
Test Cases/ssg_cancel,Chrome 71.0.3578.98,,2019-01-31 13:14:35,2019-01-31 13:14:47,11.822s,PASSED
"navigateToUrl(""https://qa-pay.ssg.com/myssg/orderInfo.ssg?viewType=Ssg"")",Chrome 71.0.3578.98,,2019-01-31 13:14:35,2019-01-31 13:14:40,4.465s,PASSED
"click(findTestObject(""Object Repository/cancel/button_ (1)""))",Chrome 71.0.3578.98,,2019-01-31 13:14:40,2019-01-31 13:14:40,0.430s,PASSED
"click(findTestObject(""Object Repository/cancel/label_""))",Chrome 71.0.3578.98,,2019-01-31 13:14:40,2019-01-31 13:14:40,0.178s,PASSED
"waitForElementVisible(findTestObject(""cancel/label_ (1)""), 5)",Chrome 71.0.3578.98,,2019-01-31 13:14:40,2019-01-31 13:14:40,0.091s,PASSED
"click(findTestObject(""Object Repository/cancel/label_ (1)""))",Chrome 71.0.3578.98,,2019-01-31 13:14:40,2019-01-31 13:14:40,0.127s,PASSED
"click(findTestObject(""Object Repository/cancel/button_ (2)""))",Chrome 71.0.3578.98,,2019-01-31 13:14:40,2019-01-31 13:14:41,0.144s,PASSED
"click(findTestObject(""Object Repository/cancel/label_     .""))",Chrome 71.0.3578.98,,2019-01-31 13:14:41,2019-01-31 13:14:42,1.709s,PASSED
"click(findTestObject(""Object Repository/cancel/button__1""))",Chrome 71.0.3578.98,,2019-01-31 13:14:42,2019-01-31 13:14:43,0.192s,PASSED
"click(findTestObject(""Object Repository/cancel/button__2""))",Chrome 71.0.3578.98,,2019-01-31 13:14:43,2019-01-31 13:14:47,4.164s,PASSED
