Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
cancel_order,Chrome 71.0.3578.98,,2019-01-31 10:24:50,2019-01-31 10:25:18,27.756s,FAILED
,,,,,,
Test Cases/ssg_login,Chrome 71.0.3578.98,,2019-01-31 10:24:50,2019-01-31 10:25:02,11.940s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-31 10:24:51,2019-01-31 10:24:58,7.269s,PASSED
"navigateToUrl(""http://qa-www.ssg.com/"")",Chrome 71.0.3578.98,,2019-01-31 10:24:58,2019-01-31 10:25:00,1.994s,PASSED
"click(findTestObject(""Object Repository/order/a_""))",Chrome 71.0.3578.98,GNB 로그인 버튼 클릭,2019-01-31 10:25:00,2019-01-31 10:25:00,0.610s,PASSED
"switchToWindowTitle(""로그인, 신세계적 쇼핑포털 SSG.COM"")",Chrome 71.0.3578.98,,2019-01-31 10:25:00,2019-01-31 10:25:02,1.206s,PASSED
"setText(findTestObject(""Object Repository/order/input__mbrLoginId""), ""nezz"")",Chrome 71.0.3578.98,,2019-01-31 10:25:02,2019-01-31 10:25:02,0.145s,PASSED
"setEncryptedText(findTestObject(""Object Repository/order/input__password""), ""RKSwBYi2f48="")",Chrome 71.0.3578.98,,2019-01-31 10:25:02,2019-01-31 10:25:02,0.199s,PASSED
"click(findTestObject(""Object Repository/order/button_""))",Chrome 71.0.3578.98,,2019-01-31 10:25:02,2019-01-31 10:25:02,0.092s,PASSED
"switchToWindowTitle(""신세계적 쇼핑포털 SSG.COM"")",Chrome 71.0.3578.98,,2019-01-31 10:25:02,2019-01-31 10:25:02,0.086s,PASSED
,,,,,,
Test Cases/ssg_cancel,Chrome 71.0.3578.98,,2019-01-31 10:25:02,2019-01-31 10:25:16,14.277s,FAILED
"navigateToUrl(""https://qa-pay.ssg.com/myssg/orderInfo.ssg?viewType=Ssg"")",Chrome 71.0.3578.98,,2019-01-31 10:25:02,2019-01-31 10:25:15,12.497s,PASSED
"click(findTestObject(""Object Repository/cancel/button_ (1)""))",Chrome 71.0.3578.98,,2019-01-31 10:25:15,2019-01-31 10:25:16,0.781s,PASSED
"click(findTestObject(""Object Repository/cancel/label_""))",Chrome 71.0.3578.98,,2019-01-31 10:25:16,2019-01-31 10:25:16,0.190s,PASSED
"waitForElementVisible(findTestObject(""cancel/label_ (1)""), 5)",Chrome 71.0.3578.98,,2019-01-31 10:25:16,2019-01-31 10:25:16,0.103s,PASSED
"click(findTestObject(""Object Repository/cancel/label_ (1)""))",Chrome 71.0.3578.98,,2019-01-31 10:25:16,2019-01-31 10:25:16,0.456s,FAILED
